/home/user/nilm_project_model/src/model.py:48: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=num_layers)
Epoch 001 | train MAE=25.99 | val MAE=13.37 | train R2=0.1486 | val R2=0.3685
Epoch 002 | train MAE=18.93 | val MAE=12.79 | train R2=0.3761 | val R2=0.3770
Epoch 003 | train MAE=19.53 | val MAE=12.45 | train R2=0.5222 | val R2=0.7122
Epoch 004 | train MAE=9.50 | val MAE=12.90 | train R2=0.7197 | val R2=0.3999
Epoch 005 | train MAE=12.42 | val MAE=7.95 | train R2=0.5236 | val R2=0.7521
Epoch 006 | train MAE=8.57 | val MAE=8.00 | train R2=0.7447 | val R2=0.7582
Epoch 007 | train MAE=6.38 | val MAE=7.71 | train R2=0.8372 | val R2=0.5747
Epoch 008 | train MAE=9.68 | val MAE=7.44 | train R2=0.7026 | val R2=0.7299
Epoch 009 | train MAE=7.26 | val MAE=6.82 | train R2=0.7792 | val R2=0.7210
Epoch 010 | train MAE=7.28 | val MAE=3.82 | train R2=0.7863 | val R2=0.8078
Epoch 011 | train MAE=4.90 | val MAE=6.43 | train R2=0.8743 | val R2=0.7166
Epoch 012 | train MAE=5.33 | val MAE=5.77 | train R2=0.8926 | val R2=0.7459
{'best_epoch': 10, 'device': 'cpu', 'runtime_sec': 280.43128180503845, 'test': {'mae': 8.682085349321365, 'rmse': 116.74750446034956, 'r2': 0.7471498517864497, 'sae': 0.19661419743809666, 'energy_error': -0.19661419743809666, 'precision': 0.9696969696969697, 'recall': 0.8, 'f1': 0.8767123287671234}, 'config': {'seed': 42, 'device': 'cpu', 'data': {'path': '', 'appliance': 'kettle', 'window_size': 128, 'train_ratio': 0.7, 'val_ratio': 0.15, 'test_ratio': 0.15, 'max_samples_train': 8000, 'max_samples_val': 4000, 'max_samples_test': 4000}, 'model': {'input_dim': 1, 'd_model': 64, 'nhead': 4, 'num_layers': 2, 'dim_feedforward': 128, 'dropout': 0.0}, 'training': {'batch_size': 128, 'epochs': 12, 'lr': 0.001, 'weight_decay': 0.0001, 'patience': 4, 'grad_clip': 1.0, 'loss': 'mse'}, 'metrics': {'on_threshold_watts': 500.0}}, 'n_train': 8000, 'n_val': 4000, 'n_test': 4000}
