/home/user/nilm_project_model/src/model.py:48: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=num_layers)
Epoch 001 | train MAE=17.13 | val MAE=10.62 | train R2=0.3796 | val R2=0.5753
Epoch 002 | train MAE=8.61 | val MAE=8.49 | train R2=0.6806 | val R2=0.7603
Epoch 003 | train MAE=7.86 | val MAE=7.23 | train R2=0.6757 | val R2=0.8035
Epoch 004 | train MAE=6.68 | val MAE=6.20 | train R2=0.6990 | val R2=0.7198
Epoch 005 | train MAE=6.22 | val MAE=6.44 | train R2=0.7189 | val R2=0.7660
Epoch 006 | train MAE=5.72 | val MAE=7.31 | train R2=0.7345 | val R2=0.6793
Epoch 007 | train MAE=5.90 | val MAE=4.78 | train R2=0.7250 | val R2=0.8213
Epoch 008 | train MAE=5.02 | val MAE=5.43 | train R2=0.7685 | val R2=0.7875
Epoch 009 | train MAE=5.02 | val MAE=5.13 | train R2=0.7349 | val R2=0.7710
Epoch 010 | train MAE=5.12 | val MAE=5.26 | train R2=0.7581 | val R2=0.8312
Epoch 011 | train MAE=5.31 | val MAE=5.32 | train R2=0.7432 | val R2=0.7993
Epoch 012 | train MAE=5.25 | val MAE=4.12 | train R2=0.7716 | val R2=0.8329
Epoch 013 | train MAE=4.95 | val MAE=4.75 | train R2=0.7580 | val R2=0.7825
Epoch 014 | train MAE=4.64 | val MAE=5.64 | train R2=0.7754 | val R2=0.7789
Epoch 015 | train MAE=4.77 | val MAE=4.64 | train R2=0.7700 | val R2=0.8131
Epoch 016 | train MAE=4.37 | val MAE=4.92 | train R2=0.7948 | val R2=0.7997
Epoch 017 | train MAE=4.29 | val MAE=4.32 | train R2=0.7997 | val R2=0.8292
{'best_epoch': 12, 'device': 'cpu', 'runtime_sec': 1255.8397467136383, 'test': {'mae': 8.583025004227956, 'rmse': 114.64636838897371, 'r2': 0.7226941810056775, 'sae': 0.19503172217993425, 'energy_error': -0.19503172217993425, 'precision': 0.9067796610169492, 'recall': 0.8045112781954887, 'f1': 0.8525896414342629}, 'config': {'seed': 42, 'device': 'cpu', 'data': {'path': '', 'appliance': 'kettle', 'window_size': 128, 'train_ratio': 0.7, 'val_ratio': 0.15, 'test_ratio': 0.15, 'max_samples_train': 30000, 'max_samples_val': 8000, 'max_samples_test': 30000}, 'model': {'input_dim': 1, 'd_model': 64, 'nhead': 4, 'num_layers': 2, 'dim_feedforward': 128, 'dropout': 0.0}, 'training': {'batch_size': 128, 'epochs': 20, 'lr': 0.0005, 'weight_decay': 0.0001, 'patience': 5, 'grad_clip': 1.0, 'loss': 'mse', 'lr_schedule': 'cosine'}, 'metrics': {'on_threshold_watts': 500.0}}, 'n_train': 30000, 'n_val': 8000, 'n_test': 30000}
