/home/user/nilm_project_model/src/model.py:48: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=num_layers)
Epoch 001 | train MAE=25.25 | val MAE=20.95 | train R2=0.1111 | val R2=0.2316
Epoch 002 | train MAE=21.75 | val MAE=13.17 | train R2=0.2679 | val R2=0.3225
Epoch 003 | train MAE=16.88 | val MAE=11.17 | train R2=0.4446 | val R2=0.5866
Epoch 004 | train MAE=15.02 | val MAE=8.72 | train R2=0.6137 | val R2=0.7109
Epoch 005 | train MAE=11.47 | val MAE=8.36 | train R2=0.7713 | val R2=0.7990
Epoch 006 | train MAE=7.72 | val MAE=5.03 | train R2=0.8729 | val R2=0.7541
Epoch 007 | train MAE=8.50 | val MAE=6.66 | train R2=0.7292 | val R2=0.8086
Epoch 008 | train MAE=10.56 | val MAE=5.75 | train R2=0.7122 | val R2=0.8104
Epoch 009 | train MAE=9.52 | val MAE=9.06 | train R2=0.7698 | val R2=0.5933
Epoch 010 | train MAE=7.04 | val MAE=6.68 | train R2=0.8382 | val R2=0.8133
{'best_epoch': 6, 'device': 'cpu', 'runtime_sec': 867.0926690101624, 'test': {'mae': 11.57845244717598, 'rmse': 136.77723560754916, 'r2': 0.6529471266422985, 'sae': 0.24219478957652105, 'energy_error': -0.24219478957652105, 'precision': 0.9666666666666667, 'recall': 0.725, 'f1': 0.8285714285714285}, 'config': {'seed': 42, 'device': 'cpu', 'data': {'path': '', 'appliance': 'kettle', 'window_size': 128, 'train_ratio': 0.7, 'val_ratio': 0.15, 'test_ratio': 0.15, 'max_samples_train': 8000, 'max_samples_val': 4000, 'max_samples_test': 4000}, 'model': {'input_dim': 1, 'd_model': 64, 'nhead': 4, 'num_layers': 4, 'dim_feedforward': 128, 'dropout': 0.1}, 'training': {'batch_size': 128, 'epochs': 12, 'lr': 0.0005, 'weight_decay': 0.0001, 'patience': 4, 'grad_clip': 1.0, 'loss': 'mse'}, 'metrics': {'on_threshold_watts': 500.0}}, 'n_train': 8000, 'n_val': 4000, 'n_test': 4000}
